County	Constituency	Ward	Latitude	Longitude
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	EMBO-RUTTO PRI	0.65461	35.823548
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KABARGOGE PRIMARY SCHOOL	0.67147	35.819568
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KABARKEBO PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KABIYEWO PRIMARY SCHOOL	0.62672	35.827458
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KAMOTIONY PRIMARY SCHOOL	0.59751	35.832778
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KAPCHEPKISA PRIMARY SCHOOL	0.6977	35.832318
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KAPCHEPKOR PRIMARY SCHOOL	0.63276	35.819158
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KAPCHEPKULEI PRIMARY SCHOOL	0.61864	35.821648
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KAPKOMBE PRIMARY SCHOOL	0.6701	35.826528
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KAPTERE PRIMARY SCHOOL	0.61874	35.803018
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KASESYA PRIMARY SCHOOL	0.63307	35.836398
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KASIBER PRIMARY SCHOOL	0.60543	35.817078
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KASISIT PRIMARY SCHOOL	0.64005	35.830418
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KASOK PRIMARY SCHOOL	0.72343	35.814788
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KELWONDONIN PRIMARY SCHOOL	0.69081	35.832668
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KIMUGUL PRIMARY SCHOOL	0.71303	35.820778
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KIPSARAMAN AFRICA INLAND CHURCH	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KITIBEI PRIMARY SCHOOL	0.70074	35.815268
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	KURESCHUN PRIMARY SCHOOL	0.64316	35.800128
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	POI PRIMARY SCHOOL	0.73844	35.810468
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	REBEKO PRIMARY SCHOOL	0.74107	35.789618
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	TIRIMIONIN PRIMARY SCHOOL	0.65575	35.819318
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	TOROKWONIN PRIMARY SCHOOL	0.67924	35.830168
BARINGO	BARINGO  NORTH	SAIMO/SOI	AKOROYAN PRIMARY SCHOOL	0.6305	35.983798
BARINGO	BARINGO  NORTH	SAIMO/SOI	ARUSIN NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	BARAMERES NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	BARKETIEW PRIMARY SCHOOL	0.788828	35.856083
BARINGO	BARINGO  NORTH	SAIMO/SOI	BARTUM PRIMARY SCHOOL	0.59058	35.884178
BARINGO	BARINGO  NORTH	SAIMO/SOI	BIRETWONIN PRIMARY SCHOOOL	0.67261	35.866248
BARINGO	BARINGO  NORTH	SAIMO/SOI	BIRINGWENY PRIMARY SCHOOL	0.61378	35.830058
BARINGO	BARINGO  NORTH	SAIMO/SOI	BURBURET PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	CHEBARSIAT PRIMARY SCHOOL	0.57565	35.925818
BARINGO	BARINGO  NORTH	SAIMO/SOI	CHELELYO NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	CHEMORONGYON NITUME CHURCH	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	CHEPKEWEL PRIMARY SCHOOL	0.66516	35.941738
BARINGO	BARINGO  NORTH	SAIMO/SOI	KABARAINA NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	KAGIR PRIMARY SCHOOL	0.79942	35.952048
BARINGO	BARINGO  NORTH	SAIMO/SOI	KAPKOLE PRIMARY SCHOOL	0.61311	35.847248
BARINGO	BARINGO  NORTH	SAIMO/SOI	KAPKULES NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	KAPSOI PRIMARY SCHOOL	0.61723	36.010878
BARINGO	BARINGO  NORTH	SAIMO/SOI	KARIMO NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	KIBIRYOKWONIN PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	KIPCHERERE PRIMARY SCHOOL	0.59494	35.855988
BARINGO	BARINGO  NORTH	SAIMO/SOI	KIPSARAMAN PRIMARY SCHOOL	0.73181	35.832368
BARINGO	BARINGO  NORTH	SAIMO/SOI	KOIBOWARE PRIMARY SCHOOL	0.69082	35.901888
BARINGO	BARINGO  NORTH	SAIMO/SOI	KOINDOI PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	KOROTO PRIMARY SCHOOL	0.62594	35.909368
BARINGO	BARINGO  NORTH	SAIMO/SOI	KOSILE NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	LORUK HEALTH CENTRE	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/SOI	MOINONIN PRIMARY SCHOOL	0.66737	36.014068
BARINGO	BARINGO  NORTH	SAIMO/SOI	NGARATUKO PRIMARY SCHOOL	0.72937	35.975378
BARINGO	BARINGO  NORTH	SAIMO/SOI	RONDONIN PRIMARY SCHOOL	0.74093	35.873318
BARINGO	BARINGO  NORTH	SAIMO/SOI	ROROMOCH PRIMARY SCHOOL	0.0	0.0
